Name,Financial Status,Paid at,Currency,Subtotal,Shipping,Taxes,Total,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Cancelled at,Payment Method,Refunded Amount,Outstanding Balance,Id,Tags,Source,Lineitem discount
#1632,,,,,,,,,,2026-03-09 16:46:03 -0400,2,11.99,19.99,AP_EP02,TRUE,TRUE,,,,,,,,,,,,0.00
#1632,,,,,,,,,,2026-03-09 16:46:03 -0400,2,11.99,19.99,AP_SN02,TRUE,TRUE,,,,,,,,,,,,0.00
#1632,,,,,,,,,,2026-03-09 16:46:03 -0400,2,11.99,19.99,AP_MW02,TRUE,TRUE,,,,,,,,,,,,0.00
#1631,paid,2026-03-09 08:50:24 -0400,USD,35.97,6.50,0.00,42.47,0.00,Economy,2026-03-09 08:50:24 -0400,1,11.99,19.99,AP_MW02,TRUE,TRUE,Memphis,'38134,TN,US,,Shopify Payments,0.00,0.00,7193760071990,,web,0.00
#1631,,,,,,,,,,2026-03-09 08:50:24 -0400,1,11.99,19.99,AP_FP02,TRUE,TRUE,,,,,,,,,,,,0.00
#1631,,,,,,,,,,2026-03-09 08:50:24 -0400,1,11.99,19.99,AP_BP02,TRUE,TRUE,,,,,,,,,,,,0.00
#1630,paid,2026-03-09 02:15:54 -0400,USD,77.59,0.00,0.00,77.59,13.69,Economy,2026-03-09 02:15:52 -0400,1,11.99,19.99,AP_BN02,TRUE,TRUE,Corvallis,'97330,OR,US,,Shopify Payments,0.00,0.00,7193336185142,,web,0.00
#1630,,,,,,,,,,2026-03-09 02:15:52 -0400,1,11.99,19.99,AP_FP02,TRUE,TRUE,,,,,,,,,,,,0.00
#1630,,,,,,,,,,2026-03-09 02:15:52 -0400,1,11.99,19.99,AP_MW02,TRUE,TRUE,,,,,,,,,,,,0.00
#1630,,,,,,,,,,2026-03-09 02:15:52 -0400,1,11.99,19.99,AP_EP02,TRUE,TRUE,,,,,,,,,,,,0.00
#1630,,,,,,,,,,2026-03-09 02:15:52 -0400,1,21.66,33.32,AP_AF04,TRUE,TRUE,,,,,,,,,,,,0.00
#1630,,,,,,,,,,2026-03-09 02:15:52 -0400,1,21.66,33.32,AP_SN04,TRUE,TRUE,,,,,,,,,,,,0.00
#1629,paid,2026-03-08 21:57:06 -0400,USD,103.16,0.00,0.00,103.16,18.20,Economy,2026-03-08 21:57:03 -0400,2,10.39,15.99,GP_B15,TRUE,TRUE,Burke,'22015,VA,US,,Shopify Payments,0.00,0.00,7193010798902,,web,0.00
#1629,,,,,,,,,,2026-03-08 21:57:03 -0400,2,10.39,15.99,GP_MTC15,TRUE,TRUE,,,,,,,,,,,,0.00
#1629,,,,,,,,,,2026-03-08 21:57:03 -0400,2,39.90,57.00,AB_18,TRUE,TRUE,,,,,,,,,,,,0.00
#1628,paid,2026-03-08 21:56:04 -0400,USD,41.56,6.50,0.00,48.06,0.00,Economy,2026-03-08 21:56:02 -0400,4,10.39,15.99,GPTC15,TRUE,TRUE,Fresno,'93720,CA,US,,Shopify Payments,0.00,0.00,7193009422646,,web,0.00
#1627,paid,2026-03-08 19:26:17 -0400,USD,22.38,6.50,0.00,28.88,0.00,Economy,2026-03-08 19:26:14 -0400,1,11.99,19.99,AP_SN02,TRUE,TRUE,Millington,38053-2209,TN,US,,Shopify Payments,0.00,0.00,7192812192054,,web,0.00
#1627,,,,,,,,,,2026-03-08 19:26:14 -0400,1,10.39,15.99,GPTC15,TRUE,TRUE,,,,,,,,,,,,0.00
#1626,paid,2026-03-08 09:57:21 -0400,USD,88.66,0.00,0.00,88.66,15.64,Economy,2026-03-08 09:57:18 -0400,1,11.99,19.99,AP_SN02,TRUE,TRUE,Union,'41091,KY,US,,Shopify Payments,0.00,0.00,7191810343222,Simple Bundles 2.0 - Bundle Order,web,0.00
#1626,,,,,,,,,,2026-03-08 09:57:18 -0400,1,10.39,15.99,GP_B15,TRUE,TRUE,,,,,,,,,,,,0.00
#1626,,,,,,,,,,2026-03-08 09:57:18 -0400,1,5.20,15.99,GP_W15,TRUE,TRUE,,,,,,,,,,,,0.00
